title_key,media_type,title,release_date,vote_average,vote_count,popularity
tv:69740,tv,Ozark,2017-07-21,8.195,2884,38.1767
movie:17654,movie,District 9,2009-08-05,7.479,10577,12.9272
movie:531454,movie,Eurovision Song Contest: The Story of Fire Saga,2020-06-26,6.404,1611,4.3049
movie:11036,movie,The Notebook,2004-06-25,7.9,12798,23.7228
movie:9693,movie,Children of Men,2006-09-22,7.613,8046,13.174
movie:197,movie,Braveheart,1995-05-24,7.946,11359,18.5709
movie:280,movie,Terminator 2: Judgment Day,1991-07-03,8.166,14721,36.2764
movie:115,movie,The Big Lebowski,1998-03-06,7.834,12419,13.6934
movie:1359,movie,American Psycho,2000-04-13,7.402,12620,18.1977
movie:70,movie,Million Dollar Baby,2004-12-05,7.953,10536,10.794
movie:68726,movie,Pacific Rim,2013-07-11,6.9,13728,19.9808
movie:14161,movie,2012,2009-10-10,5.891,12956,22.1775
movie:637,movie,Life Is Beautiful,1997-12-20,8.437,14189,22.1189
movie:210577,movie,Gone Girl,2014-10-01,7.889,20300,25.6468
movie:95,movie,Armageddon,1998-07-01,6.831,8777,14.2691
tv:86850,tv,Dracula,2020-01-01,6.975,849,10.0019
movie:359940,movie,"Three Billboards Outside Ebbing, Missouri",2017-12-01,8.052,11124,12.6741
movie:54138,movie,Star Trek Into Darkness,2013-05-05,7.321,9832,15.0777
movie:435,movie,The Day After Tomorrow,2004-05-26,6.564,9071,13.5172
movie:9552,movie,The Exorcist,1973-12-26,7.744,8825,19.9383
movie:9392,movie,The Descent,2005-07-08,6.985,4541,13.8155
movie:375262,movie,The Favourite,2018-11-23,7.481,6010,8.0392
movie:496,movie,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,6.788,6112,6.8976
movie:274870,movie,Passengers,2016-12-21,6.956,14446,9.6295
movie:536869,movie,Cats,2019-12-19,4.08,1058,4.8584
movie:301528,movie,Toy Story 4,2019-06-19,7.464,10915,24.6459
movie:43074,movie,Ghostbusters,2016-07-14,5.343,6879,12.34
tv:107588,tv,Aashram,2020-08-28,5.333,18,5.0365
movie:3131,movie,Gangs of New York,2002-12-14,7.32,7375,10.7275
movie:500664,movie,Upgrade,2018-05-31,7.512,5192,10.9455
movie:675,movie,Harry Potter and the Order of the Phoenix,2007-07-08,7.673,21138,29.0769
movie:7299,movie,Equilibrium,2002-12-06,7.057,5170,11.049
movie:36669,movie,Die Another Day,2002-11-17,5.996,3970,11.0966
movie:2082,movie,Halloween,2007-08-31,6.239,2612,8.4038
movie:5876,movie,The Mist,2007-11-21,6.953,6040,14.9264
tv:79788,tv,Watchmen,2019-10-20,7.625,1670,13.4626
movie:2024,movie,The Patriot,2000-06-28,7.207,4447,12.0036
movie:194662,movie,Birdman or (The Unexpected Virtue of Ignorance),2014-10-17,7.4,13769,16.9025
tv:67026,tv,Designated Survivor,2016-09-21,7.151,1173,27.4062
movie:206647,movie,Spectre,2015-10-26,6.57,11425,13.0503
movie:157433,movie,Pet Sematary,2019-04-04,5.738,3490,9.0395
movie:1954,movie,The Butterfly Effect,2004-01-17,7.579,8443,16.2453
tv:1622,tv,Supernatural,2005-09-13,8.3,8628,208.176
movie:38700,movie,Bad Boys for Life,2020-01-15,7.106,8854,13.3916
movie:1576,movie,Resident Evil,2002-03-15,6.669,7106,8.1647
movie:59,movie,A History of Violence,2005-09-23,7.165,3843,9.5814
movie:102382,movie,The Amazing Spider-Man 2,2014-04-16,6.559,14655,45.1437
movie:28,movie,Apocalypse Now,1979-05-19,8.261,9307,20.7121
movie:37165,movie,The Truman Show,1998-06-04,8.157,20706,24.8149
movie:4348,movie,Pride & Prejudice,2005-09-16,8.1,8902,21.3214
movie:8358,movie,Cast Away,2000-12-22,7.667,12480,13.9046
movie:1933,movie,The Others,2001-08-02,7.618,7366,16.0048
movie:1417,movie,Pan's Labyrinth,2006-10-11,7.767,11668,18.2388
movie:72190,movie,World War Z,2013-06-19,6.849,16934,19.551
movie:321612,movie,Beauty and the Beast,2017-03-16,6.968,16134,26.671
tv:2316,tv,The Office,2005-03-24,8.581,5417,151.209
tv:82357,tv,Car Masters: Rust to Riches,2018-09-14,7.463,94,5.868
movie:455207,movie,Crazy Rich Asians,2018-08-15,7.043,4030,8.6833
movie:855,movie,Black Hawk Down,2001-12-28,7.399,6532,20.8437
movie:244786,movie,Whiplash,2014-10-10,8.375,16987,31.694
movie:496524,movie,Simmba,2018-12-27,6.2,103,2.1808
movie:354912,movie,Coco,2017-10-27,8.197,21312,41.3454
movie:489999,movie,Searching,2018-08-24,7.6,4333,9.2025
movie:508,movie,Love Actually,2003-09-07,7.101,7516,11.0805
